
run #1:
Layers: conv3_fc1
Number of Epochs: 40
Learning Rate: 0.001
Batch Size: 32
Using device: cpu
Epoch 1 train: 657529.591956
Epoch 1 val: 115865.587663
Epoch 2 train: 82425.083437
Epoch 2 val: 60174.798184
Epoch 3 train: 45940.358355
Epoch 3 val: 25367.461632
Epoch 4 train: 21578.491484
Epoch 4 val: 15651.930986
Epoch 5 train: 16199.282432
Epoch 5 val: 13591.622018
Epoch 6 train: 12557.685373
Epoch 6 val: 10282.767434
Epoch 7 train: 10955.556183
Epoch 7 val: 9471.315169
Epoch 8 train: 9371.270726
Epoch 8 val: 5963.255737
Epoch 9 train: 7693.856698
Epoch 9 val: 8348.533087
Epoch 10 train: 7115.568415
Epoch 10 val: 5036.479358
Epoch 11 train: 6142.335404
Epoch 11 val: 4419.721307
Epoch 12 train: 5460.331143
Epoch 12 val: 3934.673191
Epoch 13 train: 5286.712689
Epoch 13 val: 4192.091175
Epoch 14 train: 4645.567762
Epoch 14 val: 5585.673156
Epoch 15 train: 4094.362953
Epoch 15 val: 2811.473037
Epoch 16 train: 4856.829483
Epoch 16 val: 3937.827072
Epoch 17 train: 3484.156199
Epoch 17 val: 3933.863290
Epoch 18 train: 3627.429832
Epoch 18 val: 2986.460615
Epoch 19 train: 3538.775656
Epoch 19 val: 3007.070757
Epoch 20 train: 3453.462070
Epoch 20 val: 5926.303562
Epoch 21 train: 2877.735952
Epoch 21 val: 2575.235431
Epoch 22 train: 2992.518227
Epoch 22 val: 2603.980332
Epoch 23 train: 2836.715758
Epoch 23 val: 2579.100231
Epoch 24 train: 2778.731945
Epoch 24 val: 4482.714855
Epoch 25 train: 3036.718962
Epoch 25 val: 2913.655180
Epoch 26 train: 2457.540014
Epoch 26 val: 2468.938359
Epoch 27 train: 2620.054215
Epoch 27 val: 1595.853163
Epoch 28 train: 2363.219161
Epoch 28 val: 1923.716172
Epoch 29 train: 2718.357558
Epoch 29 val: 2065.358298
Epoch 30 train: 2186.432327
Epoch 30 val: 1678.369136
Epoch 31 train: 2061.301003
Epoch 31 val: 1745.410540
Epoch 32 train: 2282.991729
Epoch 32 val: 1688.600972
Epoch 33 train: 1882.762025
Epoch 33 val: 2032.603336
Epoch 34 train: 2536.862224
Epoch 34 val: 1501.003901
Epoch 35 train: 1575.894271
Epoch 35 val: 1637.964532
Epoch 36 train: 2019.750963
Epoch 36 val: 1360.808758
Epoch 37 train: 1854.032114
Epoch 37 val: 1766.017242
Epoch 38 train: 1806.015695
Epoch 38 val: 1160.524276
Epoch 39 train: 1852.521714
Epoch 39 val: 2667.290992
Epoch 40 train: 1553.593808
Epoch 40 val: 1275.889212
Finished Training and saved the model.
---------------------------------------------------------
